tau,t_phys,p_inlet,p_outlet,q_outlet,w_center,w_monitor,volume,power,w_max_abs
0.000000000000e+00,0.000000000000e+00,5.000000000000e+03,4.828670713007e+03,1.251938520042e-06,9.407478789368e-08,9.407478789368e-08,1.659851657156e-12,6.259692600208e-03,9.407478789368e-08
2.500000000000e-02,1.325825214725e-06,5.000000000000e+03,4.671104213028e+03,2.403309510106e-06,2.789199670003e-07,2.789199670003e-07,4.846220004442e-12,1.201654755053e-02,2.789199670003e-07
5.000000000000e-02,2.651650429450e-06,5.000000000000e+03,4.527490148103e+03,3.452727172750e-06,5.515112099545e-07,5.515112099545e-07,9.423932749640e-12,1.726363586375e-02,5.515112099545e-07
7.500000000000e-02,3.977475644174e-06,5.000000000000e+03,4.397211201147e+03,4.404702371541e-06,9.090915333712e-07,9.090915333712e-07,1.526379821719e-11,2.202351185770e-02,9.090915333712e-07
1.000000000000e-01,5.303300858899e-06,5.000000000000e+03,4.279417001500e+03,5.265448940702e-06,1.349154063761e-06,1.349154063761e-06,2.224486318962e-11,2.632724470351e-02,1.349154063761e-06
1.250000000000e-01,6.629126073624e-06,5.000000000000e+03,4.173268888111e+03,6.041095149903e-06,1.869425074519e-06,1.869425074519e-06,3.025429946391e-11,3.020547574951e-02,1.869425074519e-06
1.500000000000e-01,7.954951288349e-06,5.000000000000e+03,4.078001861407e+03,6.737231009181e-06,2.467848500139e-06,2.467848500139e-06,3.918669021331e-11,3.368615504591e-02,2.467848500139e-06
1.750000000000e-01,9.280776503073e-06,5.000000000000e+03,3.992919543413e+03,7.358945096361e-06,3.142571825198e-06,3.142571825198e-06,4.894336517584e-11,3.679472548181e-02,3.142571825198e-06
2.000000000000e-01,1.060660171780e-05,5.000000000000e+03,3.917378674598e+03,7.910937841839e-06,3.891933040512e-06,3.891933040512e-06,5.943188603867e-11,3.955468920920e-02,3.891933040512e-06
2.250000000000e-01,1.193242693252e-05,5.000000000000e+03,3.850779392319e+03,8.397592565937e-06,4.714448467766e-06,4.714448467766e-06,7.056562600557e-11,4.198796282969e-02,4.714448467766e-06
2.500000000000e-01,1.325825214725e-05,5.000000000000e+03,3.792560955072e+03,8.823006722764e-06,5.608801348101e-06,5.608801348101e-06,8.226339078830e-11,4.411503361382e-02,5.608801348101e-06
2.750000000000e-01,1.458407736197e-05,5.000000000000e+03,3.742199573652e+03,9.191007748325e-06,6.573831100998e-06,6.573831100998e-06,9.444906060976e-11,4.595503874162e-02,6.573831100998e-06
3.000000000000e-01,1.590990257670e-05,5.000000000000e+03,3.699206421658e+03,9.505167598194e-06,7.608523094877e-06,7.608523094877e-06,1.070512514816e-10,4.752583799097e-02,7.608523094877e-06
3.250000000000e-01,1.723572779142e-05,5.000000000000e+03,3.663125386519e+03,9.768819181213e-06,8.711998624358e-06,8.711998624358e-06,1.200029982702e-10,4.884409590606e-02,8.711998624358e-06
3.500000000000e-01,1.856155300615e-05,5.000000000000e+03,3.633530727578e+03,9.985073472385e-06,9.883504518404e-06,9.883504518404e-06,1.332414604507e-10,4.992536736193e-02,9.883504518404e-06
3.750000000000e-01,1.988737822087e-05,5.000000000000e+03,3.610024840431e+03,1.015683584928e-05,1.112240133483e-05,1.112240133483e-05,1.467076495215e-10,5.078417924642e-02,1.112240133483e-05
4.000000000000e-01,2.121320343560e-05,5.000000000000e+03,3.592236201108e+03,1.028682111438e-05,1.242814834185e-05,1.242814834185e-05,1.603461763343e-10,5.143410557189e-02,1.242814834185e-05
4.250000000000e-01,2.253902865032e-05,5.000000000000e+03,3.579817475568e+03,1.037756730930e-05,1.380028237216e-05,1.380028237216e-05,1.741050167405e-10,5.188783654649e-02,1.380028237216e-05
4.500000000000e-01,2.386485386505e-05,5.000000000000e+03,3.572443757622e+03,1.043144859075e-05,1.523838614118e-05,1.523838614118e-05,1.879352943082e-10,5.215724295373e-02,1.523838614118e-05
4.750000000000e-01,2.519067907977e-05,5.000000000000e+03,3.569810910453e+03,1.045068734932e-05,1.674203984314e-05,1.674203984314e-05,2.017910791072e-10,5.225343674658e-02,1.674203984314e-05
5.000000000000e-01,2.651650429450e-05,5.000000000000e+03,3.571634004147e+03,1.043736562679e-05,1.831074804249e-05,1.831074804249e-05,2.156292016305e-10,5.218682813396e-02,1.831074804249e-05
5.250000000000e-01,2.784232950922e-05,5.000000000000e+03,3.577645851373e+03,1.039343581624e-05,1.994383253842e-05,1.994383253842e-05,2.294090809033e-10,5.196717908122e-02,1.994383253842e-05
5.500000000000e-01,2.916815472395e-05,5.000000000000e+03,3.587595645003e+03,1.032073061721e-05,2.164028166739e-05,2.164028166739e-05,2.430925657899e-10,5.160365308604e-02,2.164028166739e-05
5.750000000000e-01,3.049397993867e-05,5.000000000000e+03,3.601247698540e+03,1.022097223964e-05,2.339854819350e-05,2.339854819350e-05,2.566437885043e-10,5.110486119819e-02,2.339854819350e-05
6.000000000000e-01,3.181980515339e-05,5.000000000000e+03,3.618380286051e+03,1.009578088077e-05,2.521629221510e-05,2.521629221510e-05,2.700290293583e-10,5.047890440385e-02,2.521629221510e-05
6.250000000000e-01,3.314563036812e-05,5.000000000000e+03,3.638784574697e+03,9.946682525326e-06,2.709007275437e-05,2.709007275437e-05,2.832165918533e-10,4.973341262663e-02,2.709007275437e-05
6.500000000000e-01,3.447145558284e-05,5.000000000000e+03,3.662263640547e+03,9.775116137184e-06,2.901500167673e-05,2.901500167673e-05,2.961766873048e-10,4.887558068592e-02,2.901500167673e-05
6.750000000000e-01,3.579728079757e-05,5.000000000000e+03,3.688631557082e+03,9.582440319858e-06,3.098438531212e-05,3.098438531212e-05,3.088813282995e-10,4.791220159929e-02,3.098438531212e-05
7.000000000000e-01,3.712310601229e-05,5.000000000000e+03,3.717712545509e+03,9.369939525321e-06,3.298939082349e-05,3.298939082349e-05,3.213042303826e-10,4.684969762660e-02,3.298939082349e-05
7.250000000000e-01,3.844893122702e-05,5.000000000000e+03,3.749340176457e+03,9.138829887411e-06,3.501878358286e-05,3.501878358286e-05,3.334207214804e-10,4.569414943705e-02,3.501878358286e-05
7.500000000000e-01,3.977475644174e-05,5.000000000000e+03,3.783356613613e+03,8.890264748678e-06,3.705878599121e-05,3.705878599121e-05,3.452076586498e-10,4.445132374339e-02,3.705878599121e-05
7.750000000000e-01,4.110058165647e-05,5.000000000000e+03,3.819611891307e+03,8.625339939285e-06,3.909310514950e-05,3.909310514950e-05,3.566433518268e-10,4.312669969642e-02,3.909310514950e-05
8.000000000000e-01,4.242640687119e-05,5.000000000000e+03,3.857963219597e+03,8.345098854862e-06,4.110316542560e-05,4.110316542560e-05,3.677074943080e-10,4.172549427431e-02,4.110316542560e-05
8.250000000000e-01,4.375223208592e-05,5.000000000000e+03,3.898274312096e+03,8.050537368204e-06,4.306856265277e-05,4.306856265277e-05,3.783810997428e-10,4.025268684102e-02,4.306856265277e-05
8.500000000000e-01,4.507805730064e-05,5.000000000000e+03,3.940414733294e+03,7.742608598554e-06,4.496773151376e-05,4.496773151376e-05,3.886464454505e-10,3.871304299277e-02,4.496773151376e-05
8.750000000000e-01,4.640388251537e-05,5.000000000000e+03,3.984259263383e+03,7.422227552940e-06,4.677879015425e-05,4.677879015425e-05,3.984870218897e-10,3.711113776470e-02,4.677879015425e-05
9.000000000000e-01,4.772970773009e-05,5.000000000000e+03,4.029687279524e+03,7.090275647379e-06,4.848050064094e-05,4.848050064094e-05,4.078874881223e-10,3.545137823690e-02,4.848050064094e-05
9.250000000000e-01,4.905553294482e-05,5.000000000000e+03,4.076582152944e+03,6.747605112421e-06,5.005326494523e-05,5.005326494523e-05,4.168336331194e-10,3.373802556211e-02,5.005326494523e-05
9.500000000000e-01,5.038135815954e-05,5.000000000000e+03,4.124830661213e+03,6.395043287782e-06,5.148006718868e-05,5.148006718868e-05,4.253123427595e-10,3.197521643891e-02,5.148006718868e-05
9.750000000000e-01,5.170718337427e-05,5.000000000000e+03,4.174322414487e+03,6.033396814872e-06,5.274727575057e-05,5.274727575057e-05,4.333115723871e-10,3.016698407436e-02,5.274727575057e-05
1.000000000000e+00,5.303300858899e-05,5.000000000000e+03,4.224949293499e+03,5.663455743516e-06,5.384523326053e-05,5.384523326053e-05,4.408203248144e-10,2.831727871758e-02,5.384523326053e-05
1.025000000000e+00,5.435883380372e-05,5.000000000000e+03,4.276604895661e+03,5.285997579427e-06,5.476858620934e-05,5.476858620934e-05,4.478286336902e-10,2.642998789714e-02,5.476858620934e-05
1.050000000000e+00,5.568465901844e-05,5.000000000000e+03,4.329183983982e+03,4.901791311060e-06,5.551633510455e-05,5.551633510455e-05,4.543275522077e-10,2.450895655530e-02,5.551633510455e-05
1.075000000000e+00,5.701048423317e-05,5.000000000000e+03,4.382581931823e+03,4.511601466892e-06,5.609161621916e-05,5.609161621916e-05,4.603091471913e-10,2.255800733446e-02,5.609161621916e-05
1.100000000000e+00,5.833630944789e-05,5.000000000000e+03,4.436694154945e+03,4.116192265579e-06,5.650125262086e-05,5.650125262086e-05,4.657664986856e-10,2.058096132790e-02,5.650125262086e-05
1.125000000000e+00,5.966213466261e-05,5.000000000000e+03,4.491415521112e+03,3.716331930104e-06,5.675513185047e-05,5.675513185047e-05,4.706937052649e-10,1.858165965052e-02,5.675513185047e-05
1.150000000000e+00,6.098795987734e-05,5.000000000000e+03,4.546639726918e+03,3.312797241438e-06,5.686547833212e-05,5.686547833212e-05,4.750858953788e-10,1.656398620719e-02,5.686547833212e-05
1.175000000000e+00,6.231378509206e-05,5.000000000000e+03,4.602258631697e+03,2.906378405770e-06,5.684608998327e-05,5.684608998327e-05,4.789392451527e-10,1.453189202885e-02,5.684608998327e-05
1.200000000000e+00,6.363961030679e-05,5.000000000000e+03,4.658161539602e+03,2.497884300545e-06,5.671160167649e-05,5.671160167649e-05,4.822510031419e-10,1.248942150273e-02,5.671160167649e-05
