case,Nx,Ny,dt_hat,tau_final,H_um,p_inlet_Pa,beta_hat,p_out_final_Pa,p_out_max_abs_Pa,q_out_max_abs_m3_s,w_center_final_m,w_center_max_abs_m,volume_final_m3,power_max_abs_W
base_N51_dt0025_p5000_H1000,51,51,0.025,12.0,1000.0,5000.0,0.1,5000.440881832164,5700.272014025146,1.0450687349315572e-05,3.724637074955714e-05,5.68654783321227e-05,3.484504987080803e-10,0.052253436746577855
pressao_p5000,51,51,0.025,12.0,1000.0,5000.0,0.1,5000.440881832164,5700.272014025146,1.0450687349315572e-05,3.724637074955714e-05,5.68654783321227e-05,3.484504987080803e-10,0.052253436746577855
pressao_p10000,51,51,0.025,12.0,1000.0,10000.0,0.1,10000.881763664329,11400.544028050292,2.0901374698631144e-05,7.449274149911428e-05,0.0001137309566642454,6.969009974161606e-10,0.20901374698631142
pressao_p20000,51,51,0.025,12.0,1000.0,20000.0,0.1,20001.763527328658,22801.088056100583,4.180274939726229e-05,0.00014898548299822857,0.0002274619133284908,1.3938019948323212e-09,0.8360549879452457
largura_H1000,51,51,0.025,12.0,1000.0,5000.0,0.1,5000.440881832164,5700.272014025146,1.0450687349315572e-05,3.724637074955714e-05,5.68654783321227e-05,3.484504987080803e-10,0.052253436746577855
largura_H1250,51,51,0.025,12.0,1250.0,5000.0,0.1,5012.5285207420575,5488.711987666608,1.2300685485135327e-05,3.769194613151797e-05,6.635178229857363e-05,3.521992166982331e-10,0.06150342742567663
largura_H1500,51,51,0.025,12.0,1500.0,5000.0,0.1,5024.699436079333,5286.274817396708,1.3129420813144375e-05,3.848238515886494e-05,7.057480814494616e-05,3.587333149226405e-10,0.06564710406572187
largura_H1750,51,51,0.025,12.0,1749.9999999999998,5000.0,0.1,5024.039645786855,5168.136594009905,1.35135600186199e-05,3.9106798472408656e-05,7.254928957429491e-05,3.637719183747383e-10,0.0675678000930995
dt_0.00625,51,51,0.00625,12.0,1000.0,5000.0,0.1,5010.172433582757,5839.171362247368,1.0693636139126367e-05,3.724932822534791e-05,5.951790294943565e-05,3.4836512827114855e-10,0.053468180695631834
dt_0.0125,51,51,0.0125,12.0,1000.0,5000.0,0.1,5003.348432801409,5784.419718256865,1.0611807572416443e-05,3.72497497445499e-05,5.848501885388022e-05,3.484852380244877e-10,0.053059037862082215
dt_0.025,51,51,0.025,12.0,1000.0,5000.0,0.1,5000.440881832164,5700.272014025146,1.0450687349315572e-05,3.724637074955714e-05,5.68654783321227e-05,3.484504987080803e-10,0.052253436746577855
dt_0.05,51,51,0.05,12.0,1000.0,5000.0,0.1,4999.881906364767,5580.763383537407,1.0138388375302592e-05,3.723969203533754e-05,5.447020302547552e-05,3.483580765839432e-10,0.050691941876512964
malha_51,51,51,0.025,12.0,1000.0,5000.0,0.1,5000.440881832164,5700.272014025146,1.0450687349315572e-05,3.724637074955714e-05,5.68654783321227e-05,3.484504987080803e-10,0.052253436746577855
malha_101,101,101,0.025,12.0,1000.0,5000.0,0.1,4999.985453997827,5703.27632748934,1.0744389021938226e-05,3.8174783830351995e-05,5.7739517258049284e-05,3.6625560348834004e-10,0.05372194510969113
