tau,t_phys,p_inlet,p_outlet,q_outlet,w_center,w_monitor,volume,power,w_max_abs
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.718233876971e+02,-1.255549016033e-06,3.715310686435e-05,3.715310686435e-05,-1.664638543780e-12,-0.000000000000e+00,3.715310686435e-05
2.500000000000e-02,1.325825214725e-06,0.000000000000e+00,3.294352818669e+02,-2.407251710831e-06,3.696903996185e-05,3.696903996185e-05,-4.856233560188e-12,-0.000000000000e+00,3.696903996185e-05
5.000000000000e-02,2.651650429450e-06,0.000000000000e+00,4.730870384587e+02,-3.456944794279e-06,3.669717456299e-05,3.669717456299e-05,-9.439538134355e-12,-0.000000000000e+00,3.669717456299e-05
7.500000000000e-02,3.977475644174e-06,0.000000000000e+00,6.033962025783e+02,-4.409140796135e-06,3.634024853568e-05,3.634024853568e-05,-1.528528817714e-11,-0.000000000000e+00,3.634024853568e-05
1.000000000000e-01,5.303300858899e-06,0.000000000000e+00,7.212134700482e+02,-5.270055926642e-06,3.590075072783e-05,3.590075072783e-05,-2.227246120769e-11,-0.000000000000e+00,3.590075072783e-05
1.250000000000e-01,6.629126073624e-06,0.000000000000e+00,8.273779140500e+02,-6.045821467008e-06,3.538093829929e-05,3.538093829929e-05,-3.028816375238e-11,-0.000000000000e+00,3.538093829929e-05
1.500000000000e-01,7.954951288349e-06,0.000000000000e+00,9.226550218766e+02,-6.742030991133e-06,3.478285254017e-05,3.478285254017e-05,-3.922691843888e-11,-0.000000000000e+00,3.478285254017e-05
1.750000000000e-01,9.280776503073e-06,0.000000000000e+00,1.007741722459e+03,-7.363777102796e-06,3.410833327223e-05,3.410833327223e-05,-4.898999979738e-11,-0.000000000000e+00,3.410833327223e-05
2.000000000000e-01,1.060660171780e-05,0.000000000000e+00,1.083281876473e+03,-7.915764625073e-06,3.335903213628e-05,3.335903213628e-05,-5.948492013113e-11,-0.000000000000e+00,3.335903213628e-05
2.250000000000e-01,1.193242693252e-05,0.000000000000e+00,1.149875984406e+03,-8.402381539152e-06,3.253642496071e-05,3.253642496071e-05,-7.062500943947e-11,-0.000000000000e+00,3.253642496071e-05
2.500000000000e-01,1.325825214725e-05,0.000000000000e+00,1.208085448659e+03,-8.827730128461e-06,3.164182331304e-05,3.164182331304e-05,-8.232903663257e-11,-0.000000000000e+00,3.164182331304e-05
2.750000000000e-01,1.458407736197e-05,0.000000000000e+00,1.258434728838e+03,-9.195642727755e-06,3.067638532656e-05,3.067638532656e-05,-9.452085162663e-11,-0.000000000000e+00,3.067638532656e-05
3.000000000000e-01,1.590990257670e-05,0.000000000000e+00,1.301413318052e+03,-9.509696164372e-06,2.964112596025e-05,2.964112596025e-05,-1.071290465857e-10,-0.000000000000e+00,2.964112596025e-05
3.250000000000e-01,1.723572779142e-05,0.000000000000e+00,1.337477979281e+03,-9.773228099849e-06,2.853692699768e-05,2.853692699768e-05,-1.200866388298e-10,-0.000000000000e+00,2.853692699768e-05
3.500000000000e-01,1.856155300615e-05,0.000000000000e+00,1.367055075517e+03,-9.989354056705e-06,2.736454736222e-05,2.736454736222e-05,-1.333307763170e-10,-0.000000000000e+00,2.736454736222e-05
3.750000000000e-01,1.988737822087e-05,0.000000000000e+00,1.390542794649e+03,-1.016098367616e-05,2.612463479588e-05,2.612463479588e-05,-1.468024646812e-10,-0.000000000000e+00,2.612463479588e-05
4.000000000000e-01,2.121320343560e-05,0.000000000000e+00,1.408313195707e+03,-1.029083567048e-05,2.481774070444e-05,2.481774070444e-05,-1.604463140937e-10,-0.000000000000e+00,2.481774070444e-05
