tau,t_phys,p_inlet,p_outlet,q_outlet,w_center,w_monitor,volume,power,w_max_abs
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.093272254624e-09,-4.785661408822e-16,-1.432912771650e-15,1.249249382939e-05,-1.586237641238e-22,-0.000000000000e+00,1.249249382939e-05
6.250000000000e-03,3.314563036812e-07,0.000000000000e+00,7.463959198760e-09,-8.726513928767e-16,-1.418888663652e-15,1.247749050299e-05,-4.478695692089e-22,-0.000000000000e+00,1.247749050301e-05
1.250000000000e-02,6.629126073624e-07,0.000000000000e+00,9.893827300481e-09,-1.156739852671e-15,-1.397961566867e-15,1.245500353219e-05,-8.312782850961e-22,-0.000000000000e+00,1.245500353226e-05
1.875000000000e-02,9.943689110436e-07,0.000000000000e+00,1.127689711713e-08,-1.318441857871e-15,-1.370243424241e-15,1.242505091416e-05,-1.268284149925e-21,-0.000000000000e+00,1.242505091430e-05
2.500000000000e-02,1.325825214725e-06,0.000000000000e+00,1.161712548311e-08,-1.358219945153e-15,-1.335875252496e-15,1.238765511834e-05,-1.718474712531e-21,-0.000000000000e+00,1.238765511855e-05
3.125000000000e-02,1.657281518406e-06,0.000000000000e+00,1.101532136658e-08,-1.287859471353e-15,-1.295026667784e-15,1.234284307024e-05,-2.145343852566e-21,-0.000000000000e+00,1.234284307052e-05
3.750000000000e-02,1.988737822087e-06,0.000000000000e+00,9.647943581833e-09,-1.127992405995e-15,-1.247895134628e-15,1.229064613263e-05,-2.519224046038e-21,-0.000000000000e+00,1.229064613298e-05
4.375000000000e-02,2.320194125768e-06,0.000000000000e+00,7.740979250460e-09,-9.050386739466e-16,-1.194705155572e-15,1.223110008402e-05,-2.819204819593e-21,-0.000000000000e+00,1.223110008444e-05
5.000000000000e-02,2.651650429450e-06,0.000000000000e+00,5.542049588914e-09,-6.479506126690e-16,-1.135707231564e-15,1.216424509454e-05,-3.033972134636e-21,-0.000000000000e+00,1.216424509500e-05
5.625000000000e-02,2.983106733131e-06,0.000000000000e+00,3.293947990348e-09,-3.851132831251e-16,-1.071176798615e-15,1.209012569915e-05,-3.161620359959e-21,-0.000000000000e+00,1.209012569964e-05
6.250000000000e-02,3.314563036812e-06,0.000000000000e+00,1.211900694747e-09,-1.416907706830e-16,-1.001413097263e-15,1.200879076831e-05,-3.208584659076e-21,-0.000000000000e+00,1.200879076880e-05
6.875000000000e-02,3.646019340493e-06,0.000000000000e+00,-5.334429473179e-10,6.236825937214e-17,-9.267378681087e-16,1.192029347602e-05,-3.187912306357e-21,0.000000000000e+00,1.192029347649e-05
7.500000000000e-02,3.977475644174e-06,0.000000000000e+00,-1.826599448820e-09,2.135576288697e-16,-8.474940947823e-16,1.182469126529e-05,-3.117127284069e-21,0.000000000000e+00,1.182469126571e-05
8.125000000000e-02,4.308931947856e-06,0.000000000000e+00,-2.610838409899e-09,3.052484828136e-16,-7.640446915730e-16,1.172204581110e-05,-3.015950750251e-21,0.000000000000e+00,1.172204581144e-05
8.750000000000e-02,4.640388251537e-06,0.000000000000e+00,-2.885871316083e-09,3.374014307242e-16,-6.767711199043e-16,1.161242298081e-05,-2.904116919167e-21,0.000000000000e+00,1.161242298106e-05
9.375000000000e-02,4.971844555218e-06,0.000000000000e+00,-2.700045021766e-09,3.156750355797e-16,-5.860719889977e-16,1.149589279210e-05,-2.799484438709e-21,0.000000000000e+00,1.149589279224e-05
1.000000000000e-01,5.303300858899e-06,0.000000000000e+00,-2.139214538419e-09,2.501085104299e-16,-4.923615932895e-16,1.137252936844e-05,-2.716584396323e-21,0.000000000000e+00,1.137252936845e-05
1.062500000000e-01,5.634757162580e-06,0.000000000000e+00,-1.313447119710e-09,1.535640526965e-16,-3.960683628837e-16,1.124241089209e-05,-2.665684623038e-21,0.000000000000e+00,1.124241089209e-05
1.125000000000e-01,5.966213466261e-06,0.000000000000e+00,-3.431063749830e-10,4.011384422720e-17,-2.976333179571e-16,1.110561955473e-05,-2.652388636504e-21,0.000000000000e+00,1.110561955473e-05
1.187500000000e-01,6.297669769943e-06,0.000000000000e+00,6.539975444337e-10,-7.646268210291e-17,-1.975083571422e-16,1.096224150569e-05,-2.677732674483e-21,-0.000000000000e+00,1.096224150569e-05
1.250000000000e-01,6.629126073624e-06,0.000000000000e+00,1.573275638368e-09,-1.839390697761e-16,-9.615455776829e-17,1.081236679786e-05,-2.738700438654e-21,-0.000000000000e+00,1.081236679786e-05
1.312500000000e-01,6.960582377305e-06,0.000000000000e+00,2.331429808601e-09,-2.725813149686e-16,5.959599002787e-18,1.065608933126e-05,-2.829049233766e-21,-0.000000000000e+00,1.065608933126e-05
1.375000000000e-01,7.292038680986e-06,0.000000000000e+00,2.871423446265e-09,-3.357108556506e-16,1.083600425702e-16,1.049350679430e-05,-2.940322713085e-21,-0.000000000000e+00,1.049350679430e-05
1.437500000000e-01,7.623494984667e-06,0.000000000000e+00,3.163896441646e-09,-3.699095628574e-16,2.105690616871e-16,1.032472060295e-05,-3.062931569486e-21,-0.000000000000e+00,1.032472060295e-05
1.500000000000e-01,7.954951288349e-06,0.000000000000e+00,3.206438879848e-09,-3.748813380857e-16,3.121070990899e-16,1.014983583747e-05,-3.187188352127e-21,-0.000000000000e+00,1.014983583747e-05
1.562500000000e-01,8.286407592030e-06,0.000000000000e+00,3.019709030309e-09,-3.530517773993e-16,4.124946330911e-16,9.968961177225e-06,-3.304209589272e-21,-0.000000000000e+00,9.968961177225e-06
1.625000000000e-01,8.617863895711e-06,0.000000000000e+00,2.642693984700e-09,-3.089724909108e-16,5.112540077850e-16,9.782208833187e-06,-3.406620469049e-21,-0.000000000000e+00,9.782208833187e-06
1.687500000000e-01,8.949320199392e-06,0.000000000000e+00,2.126455392204e-09,-2.486158256229e-16,6.079111881469e-16,9.589694478468e-06,-3.489025751646e-21,-0.000000000000e+00,9.589694478468e-06
1.750000000000e-01,9.280776503073e-06,0.000000000000e+00,1.528045132523e-09,-1.786476153493e-16,7.019974202632e-16,9.391537176768e-06,-3.548239629891e-21,-0.000000000000e+00,9.391537176768e-06
1.812500000000e-01,9.612232806755e-06,0.000000000000e+00,9.044128044474e-10,-1.057411968522e-16,7.930508520308e-16,9.187859308843e-06,-3.583288216147e-21,-0.000000000000e+00,9.187859308843e-06
1.875000000000e-01,9.943689110436e-06,0.000000000000e+00,3.077994779336e-10,-3.598816042302e-17,8.806180115523e-16,8.978786497029e-06,-3.595216718777e-21,-0.000000000000e+00,8.978786497029e-06
