tau,t_phys,p_inlet,p_outlet,q_outlet,w_center,w_monitor,volume,power,w_max_abs
0.000000000000e+00,0.000000000000e+00,5.000000000000e+03,4.997147096100e+03,3.335481374526e-07,6.100033076294e-09,6.100033076294e-09,1.105566327398e-13,1.667740687263e-03,6.100033076294e-09
6.250000000000e-03,3.314563036812e-07,4.998497939069e+03,4.992808584947e+03,6.651725881005e-07,1.829480319476e-08,1.829480319476e-08,3.310322801016e-13,3.324863810746e-03,1.829480319476e-08
1.250000000000e-02,6.629126073624e-07,4.993992658751e+03,4.985491010289e+03,9.939728464717e-07,3.657537776914e-08,3.657537776914e-08,6.604908457526e-13,4.963893098278e-03,3.657537776914e-08
1.875000000000e-02,9.943689110436e-07,4.986486865928e+03,4.975203920679e+03,1.319149016453e-06,6.092919931701e-08,6.092919931701e-08,1.097731102751e-12,6.577919244744e-03,6.092919931701e-08
2.500000000000e-02,1.325825214725e-06,4.975985070264e+03,4.961957736832e+03,1.640010005444e-06,9.134009818035e-08,9.134009818035e-08,1.641322757155e-12,8.160665302173e-03,9.134009818035e-08
3.125000000000e-02,1.657281518406e-06,4.962493581493e+03,4.945763737885e+03,1.955974814534e-06,1.277883062940e-07,1.277883062940e-07,2.289642939274e-12,9.706512462688e-03,1.277883062940e-07
3.750000000000e-02,1.988737822087e-06,4.946020505631e+03,4.926634098027e+03,2.266567811707e-06,1.702504720469e-07,1.702504720469e-07,3.040911128185e-12,1.121049087411e-02,1.702504720469e-07
4.375000000000e-02,2.320194125768e-06,4.926575740102e+03,4.904581963018e+03,2.571409216941e-06,2.186996763289e-07,2.186996763289e-07,3.893220922484e-12,1.266824226606e-02,2.186996763289e-07
5.000000000000e-02,2.651650429450e-06,4.904170967797e+03,4.879621554460e+03,2.870202216061e-06,2.731054498912e-07,2.731054498912e-07,4.844567539838e-12,1.407596237971e-02,2.731054498912e-07
5.625000000000e-02,2.983106733131e-06,4.878819650048e+03,4.851768289370e+03,3.162718159408e-06,3.334337921661e-07,3.334337921661e-07,5.892870410540e-12,1.543033150368e-02,3.334337921661e-07
6.250000000000e-02,3.314563036812e-06,4.850537018545e+03,4.821038903404e+03,3.448781210545e-06,3.996471916961e-07,3.996471916961e-07,7.035990682793e-12,1.672844093061e-02,3.996471916961e-07
6.875000000000e-02,3.646019340493e-06,4.819340066182e+03,4.787451567673e+03,3.728253617732e-06,4.717046483156e-07,4.717046483156e-07,8.271743846112e-12,1.796772203682e-02,4.717046483156e-07
7.500000000000e-02,3.977475644174e-06,4.785247536849e+03,4.751025991383e+03,4.001022520725e-06,5.495616972097e-07,5.495616972097e-07,9.597907981777e-12,1.914588316217e-02,5.495616972097e-07
8.125000000000e-02,4.308931947856e-06,4.748279914167e+03,4.711783504984e+03,4.266988912487e-06,6.331704349527e-07,6.331704349527e-07,1.101222835456e-11,2.026085774713e-02,6.331704349527e-07
8.750000000000e-02,4.640388251537e-06,4.708459409187e+03,4.669747121052e+03,4.526059082066e-06,7.224795475993e-07,7.224795475993e-07,1.251241916814e-11,2.131076547149e-02,7.224795475993e-07
9.375000000000e-02,4.971844555218e-06,4.665809947037e+03,4.624941572407e+03,4.778138598240e-06,8.174343408763e-07,8.174343408763e-07,1.409616332639e-11,2.229388659999e-02,8.174343408763e-07
1.000000000000e-01,5.303300858899e-06,4.620357152554e+03,4.577393328837e+03,5.023128673175e-06,9.179767724942e-07,9.179767724942e-07,1.576111098932e-11,2.320864849330e-02,9.179767724942e-07
1.062500000000e-01,5.634757162580e-06,4.572128334884e+03,4.527130595212e+03,5.260924583137e-06,1.024045486577e-06,1.024045486577e-06,1.750487760559e-11,2.405362235425e-02,1.024045486577e-06
1.125000000000e-01,5.966213466261e-06,4.521152471078e+03,4.474183294608e+03,5.491415723118e-06,1.135575850189e-06,1.135575850189e-06,1.932504196315e-11,2.482752776629e-02,1.135575850189e-06
1.187500000000e-01,6.297669769943e-06,4.467460188676e+03,4.418583040423e+03,5.714486831298e-06,1.252499991927e-06,1.252499991927e-06,2.121914464569e-11,2.552924241754e-02,1.252499991927e-06
1.250000000000e-01,6.629126073624e-06,4.411083747310e+03,4.360363101382e+03,5.930019929384e-06,1.374746842529e-06,1.374746842528e-06,2.318468713224e-11,2.615781453173e-02,1.374746842529e-06
1.312500000000e-01,6.960582377305e-06,4.352057019320e+03,4.299558362889e+03,6.137896574589e-06,1.502242177460e-06,1.502242177458e-06,2.521913164323e-11,2.671247587130e-02,1.502242177460e-06
1.375000000000e-01,7.292038680986e-06,4.290415469403e+03,4.236205287559e+03,6.338000095066e-06,1.634908661424e-06,1.634908661419e-06,2.731990172747e-11,2.719265365295e-02,1.634908661424e-06
1.437500000000e-01,7.623494984667e-06,4.226196133304e+03,4.170341876971e+03,6.530217569911e-06,1.772665894750e-06,1.772665894738e-06,2.948438350543e-11,2.759798024359e-02,1.772665894750e-06
