N,prob,se,qin_m3_s
1,0.0,0.0,1.475688683722214e-05
2,0.0,0.0,1.923417261219367e-05
3,0.3333333333333333,0.2721655269759087,5.1760546811441105e-06
4,0.25,0.21650635094610965,2.011612940803127e-05
5,0.2,0.1788854381999832,1.9915572210750674e-05
6,0.3333333333333333,0.19245008972987526,3.0901272566334375e-06
7,0.42857142857142855,0.1870439059165649,1.1940671791213665e-05
8,0.5,0.1767766952966369,5.4895699028452264e-06
9,0.5555555555555556,0.16563466499998442,5.225342337374585e-06
10,0.6,0.15491933384829668,3.1997323113049632e-06
11,0.6363636363636364,0.14504073367590284,3.166998269033512e-06
12,0.6666666666666666,0.13608276348795434,3.0925416714872296e-06
13,0.6153846153846154,0.1349320029703122,1.4168967709546763e-05
14,0.5714285714285714,0.13226001425322165,1.852142017589086e-05
15,0.6,0.12649110640673517,5.443764326309257e-06
16,0.625,0.12103072956898178,5.422419242467107e-06
17,0.5882352941176471,0.11936462498726878,1.734891476580491e-05
18,0.6111111111111112,0.11490438561102645,3.1983290424671565e-06
19,0.5789473684210527,0.1132689656524148,1.785961024868136e-05
20,0.6,0.10954451150103323,4.992372968270724e-06
21,0.6190476190476191,0.10597116957413082,5.256653369835756e-06
22,0.5909090909090909,0.10482356110715556,1.7218607909147517e-05
23,0.6086956521739131,0.10176384751376008,5.181913576649208e-06
24,0.625,0.09882117688026186,3.1555318197754235e-06
25,0.64,0.096,3.190784094319664e-06
26,0.6153846153846154,0.09541133429939111,2.0183807697910907e-05
27,0.5925925925925926,0.09456070200062598,1.4396837303506717e-05
28,0.6071428571428571,0.09229618630166093,5.315150838487793e-06
29,0.6206896551724138,0.0901022421425571,5.496373471220803e-06
30,0.6333333333333333,0.08798147953257401,5.0083958812947225e-06
31,0.6451612903225806,0.08593474639776308,3.128215806767769e-06
32,0.625,0.0855816496101822,1.6529129192909453e-05
33,0.6363636363636364,0.08373930663124332,5.493287191194176e-06
34,0.6470588235294118,0.08195653482579246,5.1135088243321945e-06
35,0.6571428571428571,0.080232897144853,5.525513829927471e-06
36,0.6666666666666666,0.07856742013183862,3.060499265946229e-06
37,0.6486486486486487,0.07848284013769638,1.5695810516136904e-05
38,0.631578947368421,0.07825178333421348,1.8090801274020297e-05
39,0.6410256410256411,0.07681342173272795,5.0889533921321365e-06
40,0.625,0.07654655446197431,1.6704206675238794e-05
41,0.6341463414634146,0.07522401651262858,5.2480406664400865e-06
42,0.6428571428571429,0.07393559564382367,4.7920512334233876e-06
43,0.627906976744186,0.07371216890168013,1.9919365221042492e-05
44,0.6363636363636364,0.07252036683795142,3.1529307518482406e-06
45,0.6222222222222222,0.07227443506755833,1.8369260425422946e-05
46,0.6304347826086957,0.07116831969319395,5.276922842231406e-06
47,0.6382978723404256,0.07008713399186657,5.294430008225555e-06
48,0.6458333333333334,0.06903088663913556,5.314632790603195e-06
49,0.6530612244897959,0.06799943900694229,3.0861453827529505e-06
50,0.64,0.06788225099390856,1.703076459992894e-05
51,0.6470588235294118,0.06691723046994365,3.1789931754564363e-06
52,0.6538461538461539,0.06597367787271526,5.572185054716295e-06
53,0.660377358490566,0.06505137344040325,3.183088657959464e-06
54,0.6666666666666666,0.06415002990995843,4.935246769654663e-06
55,0.6545454545454545,0.06411859785221004,1.4654056588753972e-05
56,0.6607142857142857,0.06326967767977505,3.1675128962215046e-06
57,0.6491228070175439,0.06321258874556504,1.810197108860398e-05
58,0.6379310344827587,0.06310568990774948,2.1128026669870466e-05
59,0.6271186440677966,0.0629555735649159,1.5932427257278957e-05
60,0.6333333333333333,0.062212300796308524,2.8967103561997363e-06
61,0.639344262295082,0.06148212809299357,3.192247962969087e-06
62,0.6451612903225806,0.060765041917404505,3.152707392621731e-06
63,0.6507936507936508,0.06006098420353418,5.16732429862299e-06
64,0.65625,0.059369859974885406,5.226007380313305e-06
65,0.6461538461538462,0.05930871686541635,2.0425502688510726e-05
66,0.6515151515151515,0.05865192120924484,5.423473544831215e-06
67,0.6567164179104478,0.058006685713137024,5.249141819056678e-06
68,0.6617647058823529,0.05737290043970798,5.71683223434517e-06
69,0.6666666666666666,0.056750435383916574,5.133235753419829e-06
70,0.6571428571428571,0.05673322564536834,1.9810899421362212e-05
71,0.6619718309859155,0.05613930434636632,3.118884324225984e-06
72,0.6666666666666666,0.05555555555555556,5.430733825242373e-06
73,0.6712328767123288,0.054981852788588643,5.604667406503214e-06
74,0.6756756756756757,0.054418058530866835,5.118003594686602e-06
75,0.68,0.05386402633793108,5.311439397695683e-06
76,0.6842105263157895,0.05331960264520819,5.642324833481658e-06
77,0.6883116883116883,0.052784628326815186,5.240387364645666e-06
78,0.6923076923076923,0.05225894003744288,5.472465540081112e-06
79,0.6962025316455697,0.051742371366523744,4.936442175826548e-06
80,0.7,0.051234753829797995,5.692621224128087e-06
81,0.7037037037037037,0.05073591771990927,5.519756479744757e-06
82,0.6951219512195121,0.05083778892069367,1.8335109811596393e-05
83,0.6987951807228916,0.05035781320569503,3.090233759647336e-06
84,0.7023809523809523,0.04988581606235273,3.176588161335447e-06
85,0.7058823529411765,0.049421650024517996,5.309764629041696e-06
86,0.7093023255813954,0.04896516755606224,3.136536972491731e-06
87,0.7126436781609196,0.04851622150080206,5.177244307094152e-06
88,0.7159090909090909,0.048074665467423255,3.1373413909288034e-06
89,0.7191011235955056,0.047640354157589215,5.4119164717315535e-06
90,0.7111111111111111,0.047776342212139555,1.728673166296061e-05
91,0.7142857142857143,0.04735668172369971,5.144961687953029e-06
92,0.717391304347826,0.04694365503196716,3.06232229497007e-06
93,0.7204301075268817,0.046537136020450225,5.14372878948343e-06
94,0.7127659574468085,0.04666889338869012,1.620763270162156e-05
95,0.7052631578947368,0.04677685392664336,2.1498901979749154e-05
96,0.7083333333333334,0.04639024033294232,5.047029051595e-06
97,0.711340206185567,0.04600933536485718,5.299842557641119e-06
98,0.7142857142857143,0.04563404035713856,5.526274471292849e-06
99,0.7171717171717171,0.04526425722831635,5.082208000101628e-06
100,0.72,0.0448998886412873,5.014432739124657e-06
101,0.7227722772277227,0.04454083814168864,5.277336923526808e-06
102,0.7156862745098039,0.04466426292055084,1.743181841828375e-05
103,0.7087378640776699,0.04476784821703428,1.6238288357258328e-05
104,0.7019230769230769,0.04485307971223693,1.8794178785244757e-05
105,0.6952380952380952,0.04492131598884352,1.910057220747951e-05
106,0.6886792452830188,0.04497380184979713,1.870987189193872e-05
107,0.6915887850467289,0.04464750178193021,5.4185569967666025e-06
108,0.6944444444444444,0.04432532906279343,3.1265865381236235e-06
109,0.6972477064220184,0.044007228587962105,5.340053214595558e-06
110,0.7,0.04369314487526515,5.387231535405155e-06
111,0.6936936936936937,0.04375224607086919,1.680527635641495e-05
112,0.6964285714285714,0.04344699318941607,5.3454552971053665e-06
113,0.6991150442477876,0.04314548337749723,5.218430364919947e-06
114,0.6929824561403509,0.043200650947625485,1.4604729273156049e-05
115,0.6869565217391305,0.04324322102985131,1.4159816508502193e-05
116,0.6896551724137931,0.042954558545037914,3.122954560371467e-06
117,0.6837606837606838,0.04298996216608101,1.6118643539562457e-05
118,0.6779661016949152,0.04301439123066887,1.586606447116275e-05
119,0.680672268907563,0.042737967617001583,5.4672995112035655e-06
120,0.6833333333333333,0.04246458219199549,3.1111207929419385e-06
121,0.6859504132231405,0.042194203101724934,3.19510603413406e-06
122,0.6885245901639344,0.041926797927519896,3.118729854198458e-06
123,0.6910569105691057,0.041662333783538404,5.3976437614604586e-06
124,0.6854838709677419,0.041697425232920755,1.6075533136480863e-05
125,0.68,0.041722895393296947,1.8046145621545824e-05
126,0.6746031746031746,0.04173933961594677,1.9778723153849803e-05
127,0.6692913385826772,0.04174731286377069,1.7735506056843198e-05
128,0.671875,0.041501033907960505,5.155699841492752e-06
129,0.6744186046511628,0.04125719578783214,3.1459378904228188e-06
130,0.676923076923077,0.04101577790708867,5.186801993038036e-06
131,0.6717557251908397,0.04102689221058918,1.765639954592016e-05
132,0.6742424242424242,0.04079137401332384,5.4272000250581495e-06
133,0.6691729323308271,0.04079847031691164,2.0182871346182915e-05
134,0.6716417910447762,0.04056863500318874,5.517370748396903e-06
135,0.674074074074074,0.04034097418306748,5.372315422224796e-06
