p_o,f_obs,Prob,SE,N
0.05,5.0,0.10266666666666667,0.007836930616094638,1500
0.1,5.0,0.172,0.009743921181947234,1500
0.15,5.0,0.2733333333333333,0.011507163630313719,1500
0.2,5.0,0.37066666666666664,0.012470575738884682,1500
0.25,5.0,0.4553333333333333,0.012858327752573138,1500
0.3,5.0,0.5026666666666667,0.012909760877953003,1500
0.35,5.0,0.5853333333333334,0.01272054040314908,1500
0.4,5.0,0.626,0.012493304873678007,1500
0.45,5.0,0.6933333333333334,0.011905803129068956,1500
0.5,5.0,0.744,0.011268362791461766,1500
0.55,5.0,0.7873333333333333,0.01056533815693423,1500
0.6,5.0,0.848,0.009269879538951229,1500
0.65,5.0,0.8726666666666667,0.008606956703951965,1500
0.05,10.0,0.098,0.007676631205591856,1500
0.1,10.0,0.18066666666666667,0.009933989538355078,1500
0.15,10.0,0.29133333333333333,0.011731956989983163,1500
0.2,10.0,0.37266666666666665,0.012484289386323975,1500
0.25,10.0,0.428,0.012775393014176382,1500
0.3,10.0,0.518,0.012901576131103775,1500
0.35,10.0,0.5666666666666667,0.012794674818208694,1500
0.4,10.0,0.6333333333333333,0.012442460159261705,1500
0.45,10.0,0.718,0.011618261487847484,1500
0.5,10.0,0.7566666666666667,0.011079176329860814,1500
0.55,10.0,0.8486666666666667,0.009253163623163542,1500
0.6,10.0,0.8973333333333333,0.007836930616094638,1500
0.65,10.0,0.9413333333333334,0.006067667805062549,1500
