H_um,E,qin_m3_s,V_m3,dE_dH_fwd_per_m,dE_dH_ctr_per_m,dE_dH_direct_per_m,dqin_dH_fwd_m3_s_per_m,dqin_dH_ctr_m3_s_per_m,dqin_dH_direct_m3_s_per_m,dV_dH_fwd_m3_per_m,dV_dH_ctr_m3_per_m,dV_dH_direct_m3_per_m
500.0,5.804734486488039,6.038895824684512e-07,2.1297670508724243e-10,14695.145998043994,14696.253828291057,14696.253855469478,0.00024459723088933303,0.00024487374114807867,0.00024487375008073835,1.0164833847079476e-06,1.0164948267428678e-06,1.0164948283957706e-06
600.0,6.57753959440541,4.4637997468141457e-07,2.992743035380528e-10,1928.7670804766592,1929.3924572525943,1929.3923998327973,-0.003100539912101647,-0.0031003921187652355,-0.0031003921443106463,6.495898545251911e-07,6.496274656792911e-07,6.496274663319389e-07
700.0,6.500087771570345,1.1548233656263742e-07,3.3971219883052583e-10,-2338.57216607015,-2338.454238783769,-2338.4543004575744,-0.0027654840005437624,-0.0027656612849112894,-0.002765661274404693,1.8534608237180607e-07,1.8537256244635134e-07,1.8537256061993594e-07
800.0,6.210027992424201,-1.8350586977048435e-08,3.458514525519628e-10,-3355.3215317565096,-3355.260152015374,-3355.2600733808667,9.931629887754016e-05,9.913139088013106e-05,9.913142446975405e-05,-1.1108709670701472e-08,-1.1104827991190168e-08,-1.1104829071976846e-08
900.0,5.834723816177673,7.00449588325995e-08,3.4519658829161583e-10,-4129.342354252713,-4129.290398821058,-4129.290211269498,0.0011782897113870876,0.0011783180400086045,0.001178318057624323,2.013098085047546e-08,2.0124873992968465e-08,2.012487374803259e-08
1000.0,5.3880198888274204,1.3310683951787375e-07,3.51545027022401e-10,-4794.185846716494,-4794.138854646779,-4794.139118827361,-0.0001832628944156143,-0.0001831157895631725,-0.00018311565252459395,1.0542510219375572e-07,1.0541949009469741e-07,1.0541948949633137e-07
1100.0,4.87804400361019,1.4941438839019706e-08,3.6514286077186546e-10,-5384.067770913459,-5384.027794481288,-5384.026029230006,-0.0021333342984697777,-0.0021332059739252555,-0.002133205664392987,1.5918382562675663e-07,1.5918145000864412e-07,1.5918144865909808e-07
1200.0,4.319215186878535,-2.698164358996486e-07,3.8202253310254064e-10,-5735.533754205494,-5735.516095763914,-5735.516905871942,-0.003411418415407636,-0.0034113565373052246,-0.003411356994882498,1.7282188597338977e-07,1.7282200778348217e-07,1.728220101593338e-07
1300.0,3.743985051890152,-6.38650753008066e-07,3.9887984385976095e-10,-5702.812120944936,-5702.821718271969,-5702.820357652963,-0.0038426018736403525,-0.0038425936712855923,-0.003842593582918459,1.615375270081493e-07,1.6153890118703066e-07,1.6153890109085557e-07
1400.0000000000002,3.1904115735742735,-1.019359638125257e-06,4.1398577666887326e-10,-5320.688438392909,-5320.731322086688,-5320.728224944489,-0.0037038552630850917,-0.00370387991399375,-0.0037038790448593946,1.3970443089894835e-07,1.397062089506684e-07,1.3970620715700119e-07
1500.0,2.68686332410068,-1.370412864850922e-06,4.267594856374008e-10,-4727.528395589685,-4727.577455747264,-4727.571624892176,-0.0032908258082904457,-0.0032908606844735985,-0.003290860323883913,1.1587049290318218e-07,1.158722269788433e-07,1.1587222596384688e-07
