TC_C,E,qin_m3_s,V_m3,dE_dTC_fwd,dE_dTC_ctr,dqin_dTC_fwd,dqin_dTC_ctr,dV_dTC_fwd,dV_dTC_ctr
0.0,5.822787891953431,7.34257364623238e-08,3.4525803874800735e-10,-0.01570659875869751,-0.015453606843948364,4.478103221572383e-09,4.546591547693879e-09,8.770414949843541e-14,8.71594463269787e-14
25.0,5.491430984039302,1.3249413880492982e-07,3.4942391948714927e-10,-0.010949955536768986,-0.010982782794879032,5.55581836946518e-10,5.552306648636519e-10,2.0827583781566863e-13,2.0827710549820876e-13
50.0,5.253676086402508,1.2046672962907968e-07,3.547175539814176e-10,-0.00824128178989186,-0.008283663614123476,-1.2301370379846583e-09,-1.2340693695691966e-09,2.0720326326177625e-13,2.0723156306436473e-13
75.0,5.069837971691916,8.047016781427431e-08,3.5961189045526496e-10,-0.006556249762836255,-0.00656263098904961,-1.856716569966017e-09,-1.8553717451297302e-09,1.8344139255855931e-13,1.8343290154365058e-13
100.0,4.920567195673487,3.130804127758887e-08,3.638912186742786e-10,-0.005458547927365445,-0.005446813484229664,-2.0313876829283624e-09,-2.031415504457821e-09,1.5942613703337686e-13,1.5942601680501715e-13
125.0,4.794970077264644,-1.970962512492088e-08,3.676167128500366e-10,-0.00464881696398296,-0.004664389387009636,-2.034226564973096e-09,-2.036208469031953e-09,1.3932227836137533e-13,1.393348344551062e-13
150.0,4.686350488510817,-6.980814075817987e-08,3.70890340488806e-10,-0.004114559944102306,-0.004078672421689065,-1.976482506725819e-09,-1.9696068970048092e-09,1.2323068889822353e-13,1.2318815945247475e-13
175.0,4.590344915376843,-1.1801797837740682e-07,3.738032366677436e-10,-0.0036179748448458586,-0.0036163109947334638,-1.88622313727778e-09,-1.884223554959874e-09,1.1032768369975435e-13,1.1031513652370367e-13
200.0,4.5039857313410225,-1.6409902786213746e-07,3.7642771227722093e-10,-0.003264731139092896,-0.003288930921412226,-1.79944327431991e-09,-1.800987957993308e-09,9.999230920877119e-14,9.999981771336869e-14
225.0,4.425185790214033,-2.0810144677700762e-07,3.788193025742508e-10,-0.0030620079652398033,-0.003027692041565887,-1.7242101630427188e-09,-1.7199068992993416e-09,9.163203934563765e-14,9.160610292694152e-14
250.0,4.3524361436638355,-2.501812391771295e-07,3.810204332108724e-10,-0.0027830814460359245,-0.0028014209165991063,-1.6483587509549714e-09,-1.647016837212385e-09,8.470487480971169e-14,8.469743830588638e-14
